"LEBL","BCN","Barcelona El Prat","41.29249634:002.06511196","LE","Spain"
"SWBC","BAZ","Barcelos","-00.98195300:-062.92494400","SW","Brazil"
"ENDU","BDU","Bardufoss","69.05951943:018.50983780","EN","Norway"
"LIBD","BRI","Bari Palese Macchi","41.13463300:016.74687500","LI","Italy"
"SVBI","BNS","Barinas","08.62016100:-070.22184200","SV","Venezuela"
"VGBR","BZL","Barisal","22.80923600:090.30021900","VG","Bangladesh"
"UNBB","BAX","Barnaul","53.35881400:083.51876400","UN","Russia"
"SVBM","BRM","Barquisimeto Intl","10.04030800:-069.37181400","SV","Venezuela"
"EGPR","BRR","Barra","57.02676215:-007.44216468","EG","United Kingdom"
"MRBC","BCL","Barra Del Colorado","10.77308100:-083.58684400","MR","Costa Rica"
"SBBW","BPG","Barra Do Garcas","-15.86588600:-052.39470300","SB","Brazil"
"SNBR","BRA","Barreiras","-12.08236100:-045.01551900","SN","Brazil"
"SCBE","TOQ","Barriles","-22.13588600:-070.06800800","SC","Chile"
"PABA","BTI","Barter Island Lrrs","70.13432800:-143.60119400","PA","Alaska"
"SBCP","CAW","Bartolomeu Lisandro","-21.70312800:-041.30712500","SB","Brazil"
"ZMBU","UUN","Baruun Urt","46.66999400:113.28337500","ZM","Mongolia"
"EYSB","HLJ","Barysiai","56.07164200:023.55026700","EY","Lithuania"
"RPUO","BSO","Basco","20.44828100:121.97533100","RP","Philippines"
"SBAN","APS","Base Aerea","-16.23848600:-048.97326700","SB","Brazil"
"SBST","SSZ","Base Aerea De Santos","-23.91984400:-046.29105300","SB","Brazil"
"SBTA","QHP","Base De Aviacao De Taubate","-23.04386100:-045.52207800","SB","Brazil"
"LFSB","BSL","Basle-mulhouse","47.61768300:007.50987500","LF","France"
"ORMM","BSR","Basrah Intl","30.56216700:047.64850000","OR","Iraq"
"GMFM","MEK","Bassatine","33.87223900:-005.52542800","GM","Morocco"
"OSLK","LTK","Bassel Al Assad Intl","35.41387800:035.94753100","OS","Syria"
"FGBT","BSG","Bata","01.89866400:009.79976700","FG","Equatorial Guinea"
"LYBT","BJY","Batajnica","44.94750000:020.23775000","LY","Serbia and Montenegro"
"OMAD","AZI","Bateen","24.43743119:054.44569242","OM","United Arab Emirates"
"CZBF","ZBF","Bathurst","47.62877800:-065.74800600","CZ","Canada"
"YBTH","BHS","Bathurst","-33.40077808:149.65070574","YB","Australia"
"YBTI","BRT","Bathurst Island","-11.75899425:130.61237307","YB","Australia"
"LTCJ","BAL","Batman","37.91658600:041.10907500","LT","Turkey"
"DABT","BLJ","Batna","35.74433600:006.29501700","DA","Algeria"
"ENBS","BJF","Batsfjord","70.59703100:029.68330300","EN","Norway"
"VDBG","BBM","Battambang","13.09300800:103.21763100","VD","Cambodia"
"VCCB","BTC","Batticaloa","07.70338300:081.67442500","VC","Sri Lanka"
"WRBC","BTW","Batu Licin","-03.41221100:115.98701900","WR","Indonesia"
"UGSB","BUS","Batumi","41.61621700:041.59016400","UG","Georgia"
"WAAB","BUW","Bau Bau/betoambari (dgac)","-05.48948662:122.56976435","WA","Indonesia"
"WPEC","BCH","Baukau Cakung","-08.47647500:126.39232200","WP","Timor-Leste"
"SBBU","BAU","Bauru","-22.34139200:-049.05993900","SB","Brazil"
"ZMBH","BYN","Bayankhongor","46.17475800:100.69700800","ZM","Mongolia"
"EDQD","BYU","Bayreuth","49.98247800:011.63391100","ED","Germany"
"LFGF","XBV","Beaune Challanges","47.00173300:004.89031100","LF","France"
"LFOB","BVA","Beauvais Tille","49.45831100:002.10385000","LF","France"
"PAWB","WBQ","Beaver","66.35960913:-147.41383214","PA","Alaska"
"CYXQ","YXQ","Beaver Creek","62.41106732:-140.87062498","CY","Canada"
"DAOR","CBH","Bechar","31.63769700:-002.29553900","DA","Algeria"
"YBIE","BEU","Bedourie","-24.34039060:139.45598145","YB","Australia"
"RCMT","MFK","Beigan","26.21950000:120.00011100","RC","Republic of China (Taiwan)"
"OYBN","BHN","Beihan","14.78946700:045.71913600","OY","Yemen"
"FQBR","BEW","Beira","-19.79364400:034.89650800","FQ","Mozambique"
"EGAA","BFS","Belfast Aldergrove","54.65225600:-006.23523900","EG","United Kingdom"
"EGAC","BHD","Belfast City","54.61135800:-005.88071900","EG","United Kingdom"
"LFSQ","BOR","Belfort Fontaine","47.64021030:007.00447307","LF","France"
"VABM","IXG","Belgaum","15.85800000:074.61027800","VA","India"
"UUOB","EGO","Belgorod","50.64968900:036.57466400","UU","Russia"
"LYBE","BEG","Belgrade","44.82651900:020.29096900","LY","Serbia and Montenegro"
"CYJQ","ZEL","Bella Bella Denny Island","52.13939854:-128.06370288","CY","Canada"
"CYBD","YBD","Bella Coola","52.38583372:-126.60444996","CY","Canada"
"VOBI","BEP","Bellary","15.16551100:076.87845800","VO","India"
"LIDB","BLX","Belluno","46.16770441:012.24390786","LI","Italy"
"SNBL","BVM","Belmonte","-15.87680800:-038.87388900","SN","Brazil"
"PABG","BVU","Beluga","61.17848347:-151.03811298","PA","Alaska"
"EGHJ","BBP","Bembridge","50.67979968:-001.11474482","EG","United Kingdom"
"YBLA","BLN","Benalla","-36.55195645:146.00674479","YB","Australia"
"EGPL","BEB","Benbecula","57.47640700:-007.37527600","EG","United Kingdom"
"YBDG","BXG","Bendigo","-36.73295000:144.32923600","YB","Australia"
"WIPL","BKS","Bengkul Pandang Kemiling","-03.85674200:102.33171700","WI","Indonesia"
"FNBG","BUG","Benguela","-12.60436100:013.39807500","FN","Angola"
"DNBE","BNI","Benin","06.30900800:005.59124400","DN","Nigeria"
"HLLB","BEN","Benina","32.11158100:020.26149400","HL","Libya"
"SKNV","NVA","Benito Salas","02.94229700:-075.29598300","SK","Colombia"
"TJCP","CPX","Benjamin Rivera Noriega","18.31501793:-065.30760962","TJ","Puerto Rico"
"HCMI","BBO","Berbera","10.37638300:044.92728600","HC","Somalia"
"FEFT","BBT","Berberati","04.22909400:015.78468300","FE","Central African Republic"
"LIME","BGY","Bergamo Orio Al Serio","45.67832972:009.70076312","LI","Italy"
"ENBR","BGO","Bergen Lufthavn Flesland","60.30662494:005.21370074","EN","Norway"
"LFBE","EGC","Bergerac Roumaniere","44.82526900:000.50495000","LF","France"
"ENBV","BVG","Berlevaag","70.87043522:029.02191230","EN","Norway"
"EDDB","SXF","Berlin Schoenefeld","52.36768900:013.48502500","ED","Germany"
"EDDT","TXL","Berlin Tegel","52.55764000:013.26576000","ED","Germany"
"SLBJ","BJO","Bermejo","-22.78010300:-064.31312200","SL","Bolivia"
"TXKF","BDA","Bermuda Intl","32.36669100:-064.69410300","TX","Bermuda"
"LSZB","BRN","Bern-belp","46.91931400:007.49080000","LS","Switzerland"
"LFPD","XBX","Bernay Saint Martin","49.10352928:000.55850201","LF","France"
"FMNQ","BPY","Besalampy","-16.74352800:044.47588900","FM","Comoros, Madagascar, Mayotte, Réunion"
"LFSA","QBQ","Besancon Thise","47.27626171:006.08997717","LF","France"
"URMO","OGZ","Beslan","43.20780300:044.58858100","UR","Russia"
"ULPB","PES","Besovets","61.87484400:034.14536100","UL","Russia"
"PABE","BET","Bethel","60.78782800:-161.82924700","PA","Alaska"
"FABM","BHM","Bethlehem","-28.24482660:028.32898904","FA","South Africa"
"PABT","BTT","Bettles","66.90794400:-151.53868900","PA","Alaska"
"OLBA","BEY","Beyrouth Rafic Hariri Intl","33.79818600:035.48085800","OL","Lebanon"
"VNBW","BWA","Bhairahawa","27.50673900:083.40870600","VN","Nepal"
"VIBT","BUP","Bhatinda","30.27838100:074.74474400","VI","India"
"VABV","BHU","Bhavnagar","21.74895600:072.17715800","VA","India"
"FABE","BIY","Bhisho","-32.90337200:027.26796100","FA","South Africa"
"VABP","BHO","Bhopal","23.29137800:077.32398600","VA","India"
"VEBS","BBI","Bhubaneshwar","20.25723900:085.80784200","VE","India"
"VABJ","BHJ","Bhuj","23.27984700:069.66147500","VA","India"
"WABB","BIK","Biak Frans Kaisiepo","-01.18472500:136.09285800","WA","Indonesia"
"LFBZ","BIQ","Biarritz Bayonne Anglet","43.46824400:-001.53722500","LF","France"
"PABM","BMX","Big Mountain Afs","59.36171900:-155.26847800","PA","Alaska"
"EGKB","BQH","Biggin Hill","51.32362600:000.02705700","EG","United Kingdom"
"VABI","PAB","Bilaspur","21.99518600:082.10946100","VA","India"
"LEBB","BIO","Bilbao","43.30634740:-002.92493723","LE","Spain"
"EKBI","BLL","Billund","55.73971457:009.13243368","EK","Denmark"
"CYOS","YOS","Billy Bishop Rgnl","44.59555600:-080.83888900","CY","Canada"
"WRRB","BMU","Bima Palibelo Muhammad Salahuddin","-08.53411100:118.68231700","WR","Indonesia"
"ZBTJ","TSN","Binhai","39.13735300:117.33820800","ZB","People\'s Republic of China"
"WBGB","BTU","Bintulu","03.13595000:113.01786700","WB","Malaysia, Brunei"
"VNVT","BIR","Biratnagar","26.48171700:087.25652200","VN","Nepal"
"YBDV","BVI","Birdsville","-25.88522488:139.34063869","YB","Australia"
"OIMB","XBJ","Birjand","32.89650600:059.26966400","OI","Iran"
"EGBB","BHX","Birmingham","52.46555600:-001.76111100","EG","United Kingdom"
"VERC","IXR","Birsa Munda","23.32253100:085.31159700","VE","India"
"OEBH","BHH","Bisha","19.99786100:042.62433300","OE","Saudi Arabia"
"DAUB","BSK","Biskra","34.80165000:005.72615000","DA","Algeria"
"RPMF","BPH","Bislig","08.19261900:126.31728900","RP","Philippines"
"GGOV","OXB","Bissau Oswaldo Vieira Intl","11.87682548:-015.65436896","GG","Guinea-Bissau"
"FOOB","BMM","Bitam","02.07991700:011.48658300","FO","Gabon"
"EDRB","BBJ","Bitburg","49.93705800:006.54676800","ED","Germany"
"YBCK","BKQ","Blackall","-24.43507145:145.42108492","YB","Australia"
"EGLK","BBS","Blackbushe","51.32206300:-000.85662200","EG","United Kingdom"
"EGNH","BLK","Blackpool","53.77223900:-003.04268600","EG","United Kingdom"
"YBTR","BLT","Blackwater","-23.59617422:148.80679678","YB","Australia"
"DAAB","QLD","Blida","36.50138900:002.80330600","DA","Algeria"
"FABL","BFN","Bloemfontein","-29.10503003:026.30240400","FA","South Africa"
"LFOQ","XBQ","Blois Le Breuil","47.68161100:001.20230600","LF","France"
"BIBL","BLO","Blonduos","65.64559547:-020.28732207","BI","Iceland"
"CYCP","YCP","Blue River","52.11083300:-119.29056100","CY","Canada"
"MNBL","BEF","Bluefields","11.98598300:-083.78185600","MN","Nicaragua"
"SSBL","BNU","Blumenau","-26.82419400:-049.09191100","SS","Brazil"
"SBBV","BVB","Boa Vista Intl","02.84076900:-060.70090000","SB","Brazil"
"PAIK","IAN","Bob Baker Mem","66.97530300:-160.44828600","PA","Alaska"
"DFOO","BOY","Bobo Dioulasso","11.15111900:-004.34291400","DF","Burkina Faso"
"MPBO","BOC","Bocas Del Toro Intl","09.34047500:-082.25767200","MP","Panama"
"MWCL","LYB","Bodden Field","19.66736912:-080.10474433","MW","Cayman Islands"
"ENBO","BOO","Bodo","67.26529200:014.31830700","EN","Norway"
"KASH","ASH","Boire Fld","42.78583300:-071.52339400","KA","United States of America"
"OIMN","BJB","Bojnord","37.48805300:057.29105300","OI","Iran"
"WAJB","BUI","Bokondini (apcm)","-03.68418708:138.67361348","WA","Indonesia"
"HAAB","ADD","Bole Intl","08.97225600:038.78350600","HA","Ethiopia"
"LIPE","BLQ","Bologna","44.54111900:011.27290300","LI","Italy"
"USPP","PEE","Bolshoye Savino","57.90451700:056.00176700","US","Russia"
"LIPB","BZO","Bolzano","46.45435300:011.32485300","LI","Italy"
"SBLP","LAZ","Bom Jesus Da Lapa","-13.25696400:-043.41005600","SB","Brazil"
"VABB","BOM","Bombay Mumbai Chhatrapati Shivaji Intl","19.08842200:072.84799200","VA","India"
"TNCB","BON","Bonaire Flamingo","12.13144200:-068.28175000","TN","Netherlands Antilles, Aruba"
"CYVB","YVB","Bonaventure","48.07453600:-065.47132500","CY","Canada"
"NGTA","TRW","Bonriki Intl","01.38278100:173.13803600","NG","Kiribati, Tuvalu"
"WRLC","BXT","Bontang (badak Ngl Co.)","00.11866919:117.47419942","WR","Indonesia"
"NTTB","BOB","Bora Bora","-16.44052500:-151.75711400","NT","French Polynesia"
"SWBR","RBB","Borba","-04.40598100:-059.60776400","SW","Brazil"
"LFBD","BOD","Bordeaux Merignac","44.81910300:-000.72898300","LF","France"
"HEBA","HBE","Borg El Arab Intl","30.93036700:029.68508600","HE","Egypt"
"ESSD","BLE","Borlange","60.42908900:015.49987800","ES","Sweden"
"EKRN","RNN","Bornholm Ronne","55.06688300:014.74521400","EK","Denmark"
"UKBB","KBP","Boryspil","50.35208720:030.88167562","UK","Ukraine"
"MKBS","OCJ","Boscobel","18.40394700:-076.97333300","MK","Jamaica"
"DAOB","TID","Bou Chekif","35.33908900:001.44686100","DA","Algeria"
"DIBK","BYK","Bouake","07.72520000:-005.07980000","DI","Côte d\'Ivoire"
"DAAK","QFD","Boufarik","36.53380600:002.86255600","DA","Algeria"
"YBOU","BQL","Boulia","-22.90750551:139.89756137","YB","Australia"
"CZBB","YDT","Boundary Bay","49.07820000:-123.01929700","CZ","Canada"
"LFLD","BOU","Bourges","47.05656700:002.35988100","LF","France"
"YBKE","BRK","Bourke","-30.04492011:145.93687160","YB","Australia"
"EGHH","BOH","Bournemouth","50.77750681:-001.85792355","EG","United Kingdom"
"LDSB","BWK","Brac","43.28086100:016.67504700","LD","Croatia"
"LPBR","BGZ","Braga","41.58505000:-008.45016900","LP","Portugal"
"LPBG","BGC","Braganca","41.85029400:-006.70956900","LP","Portugal"
"CYBR","YBR","Brandon Muni","49.90710600:-099.96591700","CY","Canada"
"CYFD","YFD","Brantford","43.12388900:-080.34666700","CY","Canada"
"SBBR","BSB","Brasilia Presidente Juscelino Kubitsch","-15.88065600:-047.93998900","SB","Brazil"
"LZIB","BTS","Bratislava Mr Stefanik","48.17570300:017.20396900","LZ","Slovakia"
"UIBB","BTK","Bratsk","56.37350699:101.69279599","UI","Russia"
"EDDW","BRE","Bremen","53.04657500:008.77445300","ED","Germany"
"UMBB","BQT","Brest","52.11299400:023.87884400","UM","Belarus"
"LFRB","BES","Brest Guipavas","48.44337500:-004.43835000","LF","France"
"SNVS","BVS","Breves","-01.64123900:-050.44907200","SN","Brazil"
"YBRW","BWQ","Brewarrina","-29.98088611:146.81015840","YB","Australia"
"LFOJ","ORE","Bricy","47.98391100:001.74556100","LF","France"
"YBBN","BNE","Brisbane Intl","-27.40385800:153.11772800","YB","Australia"
"EGTG","FZO","Bristol Filton","51.51937900:-002.60801500","EG","United Kingdom"
"EGGD","BRS","Bristol Lulsgate","51.38210800:-002.73350300","EG","United Kingdom"
"LFBV","BVE","Brive La Roche","45.15538800:001.46222200","LF","France"
"EGVN","BZZ","Brize Norton Ab","51.74606774:-001.60420700","EG","United Kingdom"
"YBHI","BHQ","Broken Hill","-32.00902500:141.46091400","YB","Australia"
"ESSB","BMA","Bromma","59.35866900:017.92964200","ES","Sweden"
"CZBM","ZBM","Bromont","45.28548300:-072.74788100","CZ","Canada"
"ENBN","BNN","Bronnoy","65.45489200:012.20542200","EN","Norway"
"YBRM","BME","Broome Intl","-17.94555686:122.21555584","YB","Australia"
"WBSB","BWN","Brunei Intl","04.93001400:114.91982500","WB","Malaysia, Brunei"
"EBBR","BRU","Brussels Airport","50.89887125:004.45563940","EB","Belgium"
"EBCI","CRL","Brussels South - Charleroi","50.45539400:004.43664200","EB","Belgium"
"UUBP","BZK","Bryansk","53.22484700:034.17377500","UU","Russia"
"PAFR","FRN","Bryant Ahp","61.27204900:-149.65167400","PA","Alaska"
"LRBS","BBU","Bucarest Baneasa","44.49922200:026.08276400","LR","Romania"
"LROP","OTP","Bucarest Otopeni Intl","44.56451700:026.07660800","LR","Romania"
"PKWA","KWA","Bucholz Aaf","08.71740000:167.72284200","PK","Marshall Islands"
"PABL","BKC","Buckland","65.98386900:-161.15825000","PA","Alaska"
"LHBP","BUD","Budapest Ferihegy","47.44542200:019.25755000","LH","Hungary"
"MRBA","BAI","Buenos Aires","09.15914700:-083.33063900","MR","Costa Rica"
"CYVT","YVT","Buffalo Narrows","55.84623386:-108.42356717","CY","Canada"
"FVCZ","BFO","Buffalo Range","-21.00299400:031.57202800","FV","Zimbabwe"
"HBBA","BJM","Bujumbura Intl","-03.30798900:029.31600600","HB","Burundi"
"AYBK","BUA","Buka","-05.42700600:154.66746900","AY","Papua New Guinea"
"FZMA","BKY","Bukavu Kavumu","-02.30032800:028.80636700","FZ","Democratic Republic of the Congo"
"UTSB","BHK","Bukhara","39.76166700:064.48000000","UT","Tajikistan, Turkmenistan, Uzbekistan"
"YBUD","BDB","Bundaberg","-24.89641245:152.31699437","YB","Australia"
"FZKA","BUX","Bunia","01.56665000:030.21238300","FZ","Democratic Republic of the Congo"
"LSZC","BXO","Buochs","46.97188878:008.38647878","LS","Switzerland"
"VVBM","BMV","Buon Ma Thuot","12.66852800:108.10647200","VV","Vietnam"
"LBBG","BOJ","Burgas","42.55982800:027.50159700","LB","Bulgaria"
"LEBG","RGS","Burgos","42.35424700:-003.62749400","LE","Spain"
"VTUO","BFV","Burirum","15.22175300:103.24759400","VT","Thailand"
"CYPZ","YPZ","Burns Lake","54.38150800:-125.95950800","CY","Canada"
"CYDB","YDB","Burwash","61.37530000:-139.05182200","CY","Canada"
"OIBB","BUZ","Bushehr","28.95753300:050.81676400","OI","Iran"
"YBLN","BQB","Busselton","-33.69488721:115.39775844","YB","Australia"
"RPVV","USU","Busuanga","12.12104400:120.09546400","RP","Philippines"
"FZKJ","BZU","Buta Zega","02.81556700:024.78473900","FZ","Democratic Republic of the Congo"
"WMKB","BWH","Butterworth","05.47691700:100.39183300","WM","Malaysia"
"CYKZ","YKZ","Buttonville Muni","43.86444400:-079.37333600","CY","Canada"
"RPME","BXU","Butuan","08.95528300:125.47001400","RP","Philippines"
"MMVA","VSA","C P A Carlos Rovirosa Intl","17.99638900:-092.82777800","MM","Mexico"
"SPBC","LHC","Caballococha","-03.91321100:-070.51544400","SP","Peru"
"FNCA","CAB","Cabinda","-05.60829200:012.18853300","FN","Angola"
"SBCB","CFB","Cabo Frio","-22.92358900:-042.08229700","SB","Brazil"
"SWKC","CCX","Caceres","-16.03526400:-057.63121700","SW","Brazil"
"SBCC","ITB","Cachimbo","-09.33156700:-054.97699200","SB","Brazil"
"SPST","TPP","Cadete Guillermo Del Castillo Paredes","-06.49717200:-076.37532500","SP","Peru"
"DBBB","COO","Cadjehoun","06.35071400:002.37567500","DB","Benin"
"LFRK","CFR","Caen Carpiquet","49.18095000:-000.46641700","LF","France"
"RPML","CGY","Cagayan De Oro","08.40480300:124.60872800","RP","Philippines"
"LIEE","CAG","Cagliari Elmas","39.26081100:009.04346700","LI","Italy"
"LFCC","ZAO","Cahors Lalbenque","44.35555600:001.46750000","LF","France"
"SVCD","CXA","Caicara Del Orinoco","07.62743900:-066.17158900","SV","Venezuela"
"YBCS","CNS","Cairns Intl","-16.86584200:145.74356700","YB","Australia"
"HECA","CAI","Cairo Intl","30.09968900:031.39823300","HE","Egypt"
"HECW","CWE","Cairo West","30.13217800:030.91072800","HE","Egypt"
"DNCA","CBQ","Calabar","04.96616700:008.34229400","DN","Nigeria"
"SVCL","CLZ","Calabozo","08.92391700:-067.42370300","SV","Venezuela"
"LFAC","CQF","Calais Dunkerque","50.95875600:001.94520600","LF","France"
"RPVC","CYP","Calbayog","12.07918900:124.54348900","RP","Philippines"
"SWKN","CLV","Caldas Novas","-17.72907800:-048.61540800","SW","Brazil"
"CYYC","YYC","Calgary Intl","51.13135600:-114.02126400","CY","Canada"
"CYBW","YBW","Calgary Springbank","51.11305600:-114.38027800","CY","Canada"
"VOCL","CCJ","Calicut","11.13930600:075.94243900","VO","India"
"VVCR","CXR","Cam Ranh","11.98508900:109.21482200","VV","Vietnam"
"EGSC","CBG","Cambridge","52.19930200:000.16402200","EG","United Kingdom"
"CYCB","YCB","Cambridge Bay","69.11222200:-105.15361100","CY","Canada"
"YSCN","CDU","Camden","-34.04076328:150.68038084","YS","Australia"
"RPMH","CGM","Camiguin","09.25170800:124.70191900","RP","Philippines"
"SKCC","CUC","Camilo Daza","07.94034400:-072.51957800","SK","Colombia"
"SLCA","CAM","Camiri","-19.99591128:-063.53087681","SL","Bolivia"
"CYBL","YBL","Campbell River","49.95555600:-125.27833900","CY","Canada"
